Well,Linker 1,Part 1,Linker 2,Part 2,Linker 3,Part 3,Linker 4,Part 4,Linker 5,Part 5,Linker 6,Part 6,Linker 7,Part 7,Linker 8,Part 8,Linker 9,Part 9,Linker 10,Part 10
H3,LMS,BASIC_SV_36_CmR-p15A_v1.0,LMP,BASIC_L3S2P21_J23104_RiboJ,UTR1-RBS3,BASIC_sfGFP_ORF_v1.0,,,,,,,,,,,,,,
A4,LMS,BASIC_SV_36_CmR-p15A_v1.0,LMP,BASIC_L3S2P21_J23105_RiboJ,UTR2-RBS1,BASIC_mTagBFP2_ORF_v1.0,,,,,,,,,,,,,,
B4,LMS,BASIC_SV_36_CmR-p15A_v1.0,LMP,BASIC_L3S2P21_J23105_RiboJ,UTR2-RBS2,BASIC_mTagBFP2_ORF_v1.0,,,,,,,,,,,,,,
C4,LMS,BASIC_SV_36_CmR-p15A_v1.0,LMP,BASIC_L3S2P21_J23105_RiboJ,UTR2-RBS3,BASIC_mTagBFP2_ORF_v1.0,,,,,,,,,,,,,,
D4,LMS,BASIC_SV_36_CmR-p15A_v1.0,LMP,BASIC_L3S2P21_J23106_RiboJ,UTR2-RBS1,BASIC_mTagBFP2_ORF_v1.0,,,,,,,,,,,,,,
E4,LMS,BASIC_SV_36_CmR-p15A_v1.0,LMP,BASIC_L3S2P21_J23106_RiboJ,UTR2-RBS2,BASIC_mTagBFP2_ORF_v1.0,,,,,,,,,,,,,,
F4,LMS,BASIC_SV_36_CmR-p15A_v1.0,LMP,BASIC_L3S2P21_J23106_RiboJ,UTR2-RBS3,BASIC_mTagBFP2_ORF_v1.0,,,,,,,,,,,,,,
G4,LMS,BASIC_SV_36_CmR-p15A_v1.0,LMP,BASIC_L3S2P21_J23101_RiboJ,UTR2-RBS1,BASIC_mTagBFP2_ORF_v1.0,,,,,,,,,,,,,,
H4,LMS,BASIC_SV_36_CmR-p15A_v1.0,LMP,BASIC_L3S2P21_J23101_RiboJ,UTR2-RBS2,BASIC_mTagBFP2_ORF_v1.0,,,,,,,,,,,,,,
A5,LMS,BASIC_SV_36_CmR-p15A_v1.0,LMP,BASIC_L3S2P21_J23101_RiboJ,UTR2-RBS3,BASIC_mTagBFP2_ORF_v1.0,,,,,,,,,,,,,,
