Part/linker,Well,Part concentration (ng/uL)
BASIC_L3S2P21_J23104_RiboJ,G1,
BASIC_BFP_ORF_v1.0,B2,
BASIC_sfGFP_ORF_v1.0,C2,
BASIC_RFP_ORF_v1.0,D2,
BASIC_SEVA_37_CmR-p15A_v1.0,E2,
BASIC_L3S2P21_J23105_RiboJ,F2,
BASIC_L3S2P21_J23106_RiboJ,G2,
BASIC_L3S2P21_J23101_RiboJ,H2,
