Part/linker,Well,Part concentration (ng/uL)
BASIC_SEVA_18,A1,
1,D1,
2,D2,
3,D3,
4,D4,
5,D5,
6,D6,
7,D7,
8,D8,
9,D9,
10,D10,
11,D11,
12,D12,
13,E1,
14,E2,
15,E3,
16,E4,
17,E5,
18,E6,
19,E7,
20,E8,
21,E9,
22,E10,
23,E11,
24,E12,
25,F1,
26,F2,
27,F3,
28,F4,
29,F5,
30,F6,
31,F7,
32,F8,
33,F9,
34,F10,
35,F11,
36,F12,
