Well,Linker 1,Part 1,Linker 2,Part 2,Linker 3,Part 3,Linker 4,Part 4,Linker 5,Part 5,Linker 6,Part 6,Linker 7,Part 7,Linker 8,Part 8,Linker 9,Part 9,Linker 10,Part 10
D11,LMS,BASIC_SEVA_37_CmR-p15A.1,LMP,BASIC_L3S2P21_J23104_RiboJ.1,UTR1-RBS3,BASIC_sfGFP_ORF.1,UTR2-RBS3,BASIC_mTagBFP2_ORF.1,UTR3-RBS3,BASIC_mCherry_ORF.1,,,,,,,,,,
E11,LMS,BASIC_SEVA_37_CmR-p15A.1,LMP,BASIC_L3S2P21_J23104_RiboJ.1,UTR2-RBS1,BASIC_mTagBFP2_ORF.1,UTR3-RBS1,BASIC_mCherry_ORF.1,UTR1-RBS3,BASIC_sfGFP_ORF.1,,,,,,,,,,
F11,LMS,BASIC_SEVA_37_CmR-p15A.1,LMP,BASIC_L3S2P21_J23104_RiboJ.1,UTR2-RBS1,BASIC_mTagBFP2_ORF.1,UTR3-RBS3,BASIC_mCherry_ORF.1,UTR1-RBS3,BASIC_sfGFP_ORF.1,,,,,,,,,,
G11,LMS,BASIC_SEVA_37_CmR-p15A.1,LMP,BASIC_L3S2P21_J23104_RiboJ.1,UTR2-RBS3,BASIC_mTagBFP2_ORF.1,UTR3-RBS1,BASIC_mCherry_ORF.1,UTR1-RBS3,BASIC_sfGFP_ORF.1,,,,,,,,,,
H11,LMS,BASIC_SEVA_37_CmR-p15A.1,LMP,BASIC_L3S2P21_J23104_RiboJ.1,UTR2-RBS3,BASIC_mTagBFP2_ORF.1,UTR3-RBS3,BASIC_mCherry_ORF.1,UTR1-RBS3,BASIC_sfGFP_ORF.1,,,,,,,,,,
A12,,,,,,,,,,,,,,,,,,,,
B12,,,,,,,,,,,,,,,,,,,,
C12,,,,,,,,,,,,,,,,,,,,
D12,,,,,,,,,,,,,,,,,,,,
E12,,,,,,,,,,,,,,,,,,,,
F12,,,,,,,,,,,,,,,,,,,,
G12,,,,,,,,,,,,,,,,,,,,
H12,,,,,,,,,,,,,,,,,,,,
