A1,"['A7', 'G7', 'C8', 'D8', 'F8']"
B1,"['A7', 'G7', 'C8', 'D8', 'H8']"
C1,"['A7', 'G7', 'C8', 'D8', 'B9']"
D1,"['A7', 'G7', 'C8', 'D9', 'F8']"
E1,"['A7', 'G7', 'C8', 'D9', 'H8']"
F1,"['A7', 'G7', 'C8', 'D9', 'B9']"
G1,"['A7', 'G7', 'C8', 'E9', 'F8']"
H1,"['A7', 'G7', 'C8', 'E9', 'H8']"
A2,"['A7', 'G7', 'C8', 'E9', 'B9']"
B2,"['A7', 'G7', 'F9', 'D8', 'F8']"
C2,"['A7', 'G7', 'F9', 'D8', 'H8']"
D2,"['A7', 'G7', 'F9', 'D8', 'B9']"
E2,"['A7', 'G7', 'F9', 'D9', 'F8']"
F2,"['A7', 'G7', 'F9', 'D9', 'H8']"
G2,"['A7', 'G7', 'F9', 'D9', 'B9']"
H2,"['B7', 'H7', 'F9', 'E9', 'F8']"
A3,"['B7', 'H7', 'F9', 'E9', 'H8']"
B3,"['B7', 'H7', 'F9', 'E9', 'B9']"
C3,"['B7', 'H7', 'G9', 'D8', 'F8']"
D3,"['B7', 'H7', 'G9', 'D8', 'H8']"
E3,"['B7', 'H7', 'G9', 'D8', 'B9']"
F3,"['B7', 'H7', 'G9', 'D9', 'F8']"
G3,"['B7', 'H7', 'G9', 'D9', 'H8']"
H3,"['B7', 'H7', 'G9', 'D9', 'B9']"
A4,"['B7', 'H7', 'G9', 'E9', 'F8']"
B4,"['B7', 'H7', 'G9', 'E9', 'H8']"
C4,"['B7', 'H7', 'G9', 'E9', 'B9']"
D4,"['B7', 'H7', 'H9', 'B10', 'C10']"
E4,"['B7', 'H7', 'H9', 'B10', 'D10']"
F4,"['B7', 'H7', 'H9', 'B10', 'E10']"
G4,"['C7', 'A8', 'H9', 'F10', 'C10']"
H4,"['C7', 'A8', 'H9', 'F10', 'D10']"
A5,"['C7', 'A8', 'H9', 'F10', 'E10']"
B5,"['C7', 'A8', 'H9', 'G10', 'C10']"
C5,"['C7', 'A8', 'H9', 'G10', 'D10']"
D5,"['C7', 'A8', 'H9', 'G10', 'E10']"
E5,"['C7', 'A8', 'H10', 'B10', 'C10']"
F5,"['C7', 'A8', 'H10', 'B10', 'D10']"
G5,"['C7', 'A8', 'H10', 'B10', 'E10']"
H5,"['C7', 'A8', 'H10', 'F10', 'C10']"
A6,"['C7', 'A8', 'H10', 'F10', 'D10']"
B6,"['C7', 'A8', 'H10', 'F10', 'E10']"
C6,"['C7', 'A8', 'H10', 'G10', 'C10']"
D6,"['C7', 'A8', 'H10', 'G10', 'D10']"
E6,"['C7', 'A8', 'H10', 'G10', 'E10']"
F6,"['D7', 'B8', 'B11', 'B10', 'C10']"
G6,"['D7', 'B8', 'B11', 'B10', 'D10']"
H6,"['D7', 'B8', 'B11', 'B10', 'E10']"
A7,"['D7', 'B8', 'B11', 'F10', 'C10']"
B7,"['D7', 'B8', 'B11', 'F10', 'D10']"
C7,"['D7', 'B8', 'B11', 'F10', 'E10']"
D7,"['D7', 'B8', 'B11', 'G10', 'C10']"
E7,"['D7', 'B8', 'B11', 'G10', 'D10']"
F7,"['D7', 'B8', 'B11', 'G10', 'E10']"
G7,"['D7', 'D11', 'G11', 'H9', 'F8']"
H7,"['D7', 'D11', 'G11', 'H9', 'H8']"
A8,"['D7', 'D11', 'G11', 'H9', 'B9']"
B8,"['D7', 'D11', 'G11', 'H10', 'F8']"
C8,"['D7', 'D11', 'G11', 'H10', 'H8']"
D8,"['D7', 'D11', 'G11', 'H10', 'B9']"
E8,"['E7', 'D11', 'G11', 'B11', 'F8']"
F8,"['E7', 'D11', 'G11', 'B11', 'H8']"
G8,"['E7', 'D11', 'G11', 'B11', 'B9']"
H8,"['E7', 'D11', 'H11', 'H9', 'F8']"
A9,"['E7', 'D11', 'H11', 'H9', 'H8']"
B9,"['E7', 'D11', 'H11', 'H9', 'B9']"
C9,"['E7', 'D11', 'H11', 'H10', 'F8']"
D9,"['E7', 'D11', 'H11', 'H10', 'H8']"
E9,"['E7', 'D11', 'H11', 'H10', 'B9']"
F9,"['E7', 'E11', 'H11', 'B11', 'F8']"
G9,"['E7', 'E11', 'H11', 'B11', 'H8']"
H9,"['E7', 'E11', 'H11', 'B11', 'B9']"
A10,"['E7', 'E11', 'A12', 'A10', 'G8']"
B10,"['E7', 'E11', 'A12', 'A10', 'A9']"
C10,"['E7', 'E11', 'A12', 'A10', 'C9']"
D10,"['F7', 'E11', 'A12', 'A11', 'G8']"
E10,"['F7', 'E11', 'A12', 'A11', 'A9']"
F10,"['F7', 'E11', 'A12', 'A11', 'C9']"
G10,"['F7', 'E11', 'A12', 'C11', 'G8']"
H10,"['F7', 'E11', 'A12', 'C11', 'A9']"
A11,"['F7', 'E11', 'A12', 'C11', 'C9']"
B11,"['F7', 'E11', 'D8', 'B12', 'C12']"
C11,"['F7', 'E11', 'D8', 'B12', 'D12']"
D11,"['F7', 'E11', 'D8', 'B12', 'E12']"
E11,"['F7', 'F11', 'D8', 'F12', 'C12']"
F11,"['F7', 'F11', 'D8', 'F12', 'D12']"
G11,"['F7', 'F11', 'D8', 'F12', 'E12']"
H11,"['F7', 'F11', 'E8', 'G12', 'C12']"
