Well,Linker 1,Part 1,Linker 2,Part 2,Linker 3,Part 3,Linker 4,Part 4,Linker 5,Part 5,Linker 6,Part 6,Linker 7,Part 7,Linker 8,Part 8,Linker 9,Part 9,Linker 10,Part 10
G5,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,11,UTR1-RBS3,8,,,,,,,,,,,,,,
H5,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,9,UTR2-RBS1,9,,,,,,,,,,,,,,
A6,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,9,UTR2-RBS1,10,,,,,,,,,,,,,,
B6,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,9,UTR2-RBS1,11,,,,,,,,,,,,,,
C6,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,9,UTR2-RBS2,9,,,,,,,,,,,,,,
D6,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,9,UTR2-RBS2,10,,,,,,,,,,,,,,
E6,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,9,UTR2-RBS2,11,,,,,,,,,,,,,,
F6,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,9,UTR2-RBS3,9,,,,,,,,,,,,,,
G6,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,9,UTR2-RBS3,10,,,,,,,,,,,,,,
H6,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,9,UTR2-RBS3,11,,,,,,,,,,,,,,
A7,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,10,UTR2-RBS1,9,,,,,,,,,,,,,,
B7,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,10,UTR2-RBS1,10,,,,,,,,,,,,,,
C7,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,10,UTR2-RBS1,11,,,,,,,,,,,,,,
D7,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,10,UTR2-RBS2,9,,,,,,,,,,,,,,
E7,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,10,UTR2-RBS2,10,,,,,,,,,,,,,,
F7,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,10,UTR2-RBS2,11,,,,,,,,,,,,,,
G7,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,10,UTR2-RBS3,9,,,,,,,,,,,,,,
H7,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,10,UTR2-RBS3,10,,,,,,,,,,,,,,
A8,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,10,UTR2-RBS3,11,,,,,,,,,,,,,,
B8,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,11,UTR2-RBS1,9,,,,,,,,,,,,,,
C8,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,11,UTR2-RBS1,10,,,,,,,,,,,,,,
D8,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,11,UTR2-RBS1,11,,,,,,,,,,,,,,
E8,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,11,UTR2-RBS2,9,,,,,,,,,,,,,,
F8,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,11,UTR2-RBS2,10,,,,,,,,,,,,,,
G8,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,11,UTR2-RBS2,11,,,,,,,,,,,,,,
H8,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,11,UTR2-RBS3,9,,,,,,,,,,,,,,
A9,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,11,UTR2-RBS3,10,,,,,,,,,,,,,,
B9,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,11,UTR2-RBS3,11,,,,,,,,,,,,,,
C9,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,33,UTR1-RBS1,12,,,,,,,,,,,,,,
D9,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,33,UTR1-RBS1,13,,,,,,,,,,,,,,
E9,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,33,UTR1-RBS1,14,,,,,,,,,,,,,,
F9,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,33,UTR1-RBS2,12,,,,,,,,,,,,,,
G9,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,33,UTR1-RBS2,13,,,,,,,,,,,,,,
H9,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,33,UTR1-RBS2,14,,,,,,,,,,,,,,
A10,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,33,UTR1-RBS3,12,,,,,,,,,,,,,,
B10,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,33,UTR1-RBS3,13,,,,,,,,,,,,,,
C10,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,33,UTR1-RBS3,14,,,,,,,,,,,,,,
D10,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,34,UTR1-RBS1,12,,,,,,,,,,,,,,
E10,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,34,UTR1-RBS1,13,,,,,,,,,,,,,,
F10,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,34,UTR1-RBS1,14,,,,,,,,,,,,,,
G10,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,34,UTR1-RBS2,12,,,,,,,,,,,,,,
H10,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,34,UTR1-RBS2,13,,,,,,,,,,,,,,
A11,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,34,UTR1-RBS2,14,,,,,,,,,,,,,,
B11,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,34,UTR1-RBS3,12,,,,,,,,,,,,,,
C11,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,34,UTR1-RBS3,13,,,,,,,,,,,,,,
D11,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,34,UTR1-RBS3,14,,,,,,,,,,,,,,
E11,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,35,UTR1-RBS1,12,,,,,,,,,,,,,,
F11,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,35,UTR1-RBS1,13,,,,,,,,,,,,,,
G11,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,35,UTR1-RBS1,14,,,,,,,,,,,,,,
H11,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,35,UTR1-RBS2,12,,,,,,,,,,,,,,
A1,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,35,UTR1-RBS2,13,,,,,,,,,,,,,,
B1,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,35,UTR1-RBS2,14,,,,,,,,,,,,,,
C1,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,35,UTR1-RBS3,12,,,,,,,,,,,,,,
D1,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,35,UTR1-RBS3,13,,,,,,,,,,,,,,
E1,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,35,UTR1-RBS3,14,,,,,,,,,,,,,,
F1,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,33,UTR3-RBS1,15,,,,,,,,,,,,,,
G1,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,33,UTR3-RBS1,16,,,,,,,,,,,,,,
H1,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,33,UTR3-RBS1,17,,,,,,,,,,,,,,
A2,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,33,UTR3-RBS2,15,,,,,,,,,,,,,,
B2,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,33,UTR3-RBS2,16,,,,,,,,,,,,,,
C2,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,33,UTR3-RBS2,17,,,,,,,,,,,,,,
D2,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,33,UTR3-RBS3,15,,,,,,,,,,,,,,
E2,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,33,UTR3-RBS3,16,,,,,,,,,,,,,,
F2,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,33,UTR3-RBS3,17,,,,,,,,,,,,,,
G2,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,34,UTR3-RBS1,15,,,,,,,,,,,,,,
H2,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,34,UTR3-RBS1,16,,,,,,,,,,,,,,
A3,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,34,UTR3-RBS1,17,,,,,,,,,,,,,,
B3,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,34,UTR3-RBS2,15,,,,,,,,,,,,,,
C3,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,34,UTR3-RBS2,16,,,,,,,,,,,,,,
D3,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,34,UTR3-RBS2,17,,,,,,,,,,,,,,
E3,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,34,UTR3-RBS3,15,,,,,,,,,,,,,,
F3,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,34,UTR3-RBS3,16,,,,,,,,,,,,,,
G3,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,34,UTR3-RBS3,17,,,,,,,,,,,,,,
H3,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,35,UTR3-RBS1,15,,,,,,,,,,,,,,
A4,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,35,UTR3-RBS1,16,,,,,,,,,,,,,,
B4,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,35,UTR3-RBS1,17,,,,,,,,,,,,,,
C4,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,35,UTR3-RBS2,15,,,,,,,,,,,,,,
D4,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,35,UTR3-RBS2,16,,,,,,,,,,,,,,
E4,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,35,UTR3-RBS2,17,,,,,,,,,,,,,,
F4,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,35,UTR3-RBS3,15,,,,,,,,,,,,,,
G4,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,35,UTR3-RBS3,16,,,,,,,,,,,,,,
H4,LMS,BASIC_SEVA_36_CmR-p15A_v1.0,LMP,35,UTR3-RBS3,17,,,,,,,,,,,,,,
