MASTER_MIX
Component,Volume (uL)
"Promega T4 DNA Ligase buffer, 10X",24.0
Water,124.0
NEB BsaI-HFv2,8.0
Promega T4 DNA Ligase,4.0

SOURCE_PLATES
Deck position,Source plate,Path
2,221216_parts.csv,//icnas1.cc.ic.ac.uk/ljh119/DNA-BOT/200120_scripts_nbs/648_constructs/multistage_builds/230226 us constructs sv18 + vio build/221216_parts.csv
5,BIOLEGIO_BASIC_Pro_Plate_Set.csv,//icnas1.cc.ic.ac.uk/ljh119/DNA-BOT/200120_scripts_nbs/648_constructs/multistage_builds/230226 us constructs sv18 + vio build/BIOLEGIO_BASIC_Pro_Plate_Set.csv

CLIP_REACTIONS
prefixes,parts,suffixes,number,mag_well
LMS-P,BASIC_SEVA_18,LMP-S,1,"('A7',)"
LMP-P,19,LMS-S,1,"('B7',)"
LMP-P,30,LMS-S,1,"('C7',)"
LMP-P,34,LMS-S,1,"('D7',)"
LMP-P,35,LMS-S,1,"('E7',)"
LMP-P,36,LMS-S,1,"('F7',)"

