Part/linker,Well,Part concentration (ng/uL)
BASIC_SV_36_CmR-p15A_v1.0,A1,70.1
BASIC_L3S2P21_J23105_RiboJ,A2,
BASIC_L3S2P21_J23106_RiboJ,A3,
BASIC_L3S2P21_J23101_RiboJ,A4,
BASIC_L3S2P21_J23104_RiboJ,A5,
BASIC_sfGFP_ORF_v1.0,A6,
BASIC_mCherry_ORF_v1.0,A7,
BASIC_mTagBFP2_ORF_v1.0,A8,
