A1,"['A7', 'G7', 'A8', 'B8', 'D8']"
B1,"['A7', 'G7', 'A8', 'B8', 'F8']"
C1,"['A7', 'G7', 'H8', 'A9', 'C9']"
D1,"['A7', 'G7', 'H8', 'A9', 'D8']"
E1,"['A7', 'G7', 'H8', 'A9', 'F8']"
F1,"['A7', 'G7', 'H8', 'E9', 'C9']"
G1,"['A7', 'G7', 'H8', 'E9', 'D8']"
H1,"['A7', 'G7', 'H8', 'E9', 'F8']"
A2,"['A7', 'G7', 'H8', 'B8', 'C9']"
B2,"['A7', 'G7', 'H8', 'B8', 'D8']"
C2,"['A7', 'G7', 'H8', 'B8', 'F8']"
D2,"['A7', 'G7', 'G9', 'A9', 'C9']"
E2,"['A7', 'G7', 'G9', 'A9', 'D8']"
F2,"['A7', 'G7', 'G9', 'A9', 'F8']"
G2,"['A7', 'G7', 'G9', 'E9', 'C9']"
H2,"['B7', 'H7', 'G9', 'E9', 'D8']"
A3,"['B7', 'H7', 'G9', 'E9', 'F8']"
B3,"['B7', 'H7', 'G9', 'B8', 'C9']"
C3,"['B7', 'H7', 'G9', 'B8', 'D8']"
D3,"['B7', 'H7', 'G9', 'B8', 'F8']"
E3,"['B7', 'H9', 'A9', 'D10', 'F10']"
F3,"['B7', 'H9', 'A9', 'D10', 'G10']"
G3,"['B7', 'H9', 'A9', 'D10', 'H10']"
H3,"['B7', 'H9', 'A9', 'A11', 'F10']"
A4,"['B7', 'H9', 'A9', 'A11', 'G10']"
B4,"['B7', 'H9', 'A9', 'A11', 'H10']"
C4,"['B7', 'H9', 'A9', 'B11', 'F10']"
D4,"['B7', 'H9', 'A9', 'B11', 'G10']"
E4,"['B7', 'H9', 'A9', 'B11', 'H10']"
F4,"['B7', 'H9', 'E9', 'D10', 'F10']"
G4,"['C7', 'H9', 'E9', 'D10', 'G10']"
H4,"['C7', 'H9', 'E9', 'D10', 'H10']"
A5,"['C7', 'H9', 'E9', 'A11', 'F10']"
B5,"['C7', 'H9', 'E9', 'A11', 'G10']"
C5,"['C7', 'H9', 'E9', 'A11', 'H10']"
D5,"['C7', 'A10', 'E9', 'B11', 'F10']"
E5,"['C7', 'A10', 'E9', 'B11', 'G10']"
F5,"['C7', 'A10', 'E9', 'B11', 'H10']"
G5,"['C7', 'A10', 'B8', 'D10', 'F10']"
H5,"['C7', 'A10', 'B8', 'D10', 'G10']"
A6,"['C7', 'A10', 'B8', 'D10', 'H10']"
B6,"['C7', 'A10', 'B8', 'A11', 'F10']"
C6,"['C7', 'A10', 'B8', 'A11', 'G10']"
D6,"['C7', 'A10', 'B8', 'A11', 'H10']"
E6,"['C7', 'A10', 'B8', 'B11', 'F10']"
F6,"['D7', 'A10', 'C8', 'B11', 'G10']"
G6,"['D7', 'A10', 'C8', 'B11', 'H10']"
H6,"['D7', 'A10', 'C11', 'D11', 'C9']"
A7,"['D7', 'A10', 'C11', 'D11', 'D8']"
B7,"['D7', 'A10', 'C11', 'D11', 'F8']"
C7,"['D7', 'B10', 'C11', 'E11', 'C9']"
D7,"['D7', 'B10', 'C11', 'E11', 'D8']"
E7,"['D7', 'B10', 'C11', 'E11', 'F8']"
F7,"['D7', 'B10', 'C11', 'F11', 'C9']"
G7,"['D7', 'B10', 'C11', 'F11', 'D8']"
H7,"['D7', 'B10', 'C11', 'F11', 'F8']"
A8,"['D7', 'B10', 'G11', 'D11', 'C9']"
B8,"['D7', 'B10', 'G11', 'D11', 'D8']"
C8,"['D7', 'B10', 'G11', 'D11', 'F8']"
D8,"['D7', 'B10', 'G11', 'E11', 'C9']"
E8,"['E7', 'B10', 'G11', 'E11', 'D8']"
F8,"['E7', 'B10', 'G11', 'E11', 'F8']"
G8,"['E7', 'B10', 'G11', 'F11', 'C9']"
H8,"['E7', 'B10', 'G11', 'F11', 'D8']"
A9,"['E7', 'B10', 'G11', 'F11', 'F8']"
B9,"['E7', 'C10', 'H11', 'D11', 'C9']"
C9,"['E7', 'C10', 'H11', 'D11', 'D8']"
D9,"['E7', 'C10', 'H11', 'D11', 'F8']"
E9,"['E7', 'C10', 'H11', 'E11', 'C9']"
F9,"['E7', 'C10', 'H11', 'E11', 'D8']"
G9,"['E7', 'C10', 'H11', 'E11', 'F8']"
H9,"['E7', 'C10', 'H11', 'F11', 'C9']"
A10,"['E7', 'C10', 'H11', 'F11', 'E8']"
B10,"['E7', 'C10', 'H11', 'F11', 'G8']"
C10,"['E7', 'A12', 'D10', 'A8', 'B12']"
D10,"['F7', 'A12', 'D10', 'A8', 'C12']"
E10,"['F7', 'A12', 'D10', 'A8', 'D12']"
F10,"['F7', 'A12', 'D10', 'H8', 'B12']"
G10,"['F7', 'A12', 'D10', 'H8', 'C12']"
H10,"['F7', 'A12', 'D10', 'H8', 'D12']"
A11,"['F7', 'A12', 'E10', 'G9', 'B12']"
B11,"['F7', 'A12', 'E10', 'G9', 'C12']"
C11,"['F7', 'A12', 'E10', 'G9', 'D12']"
D11,"['F7', 'A12', 'A11', 'A8', 'B12']"
E11,"['F7', 'A12', 'A11', 'A8', 'C12']"
F11,"['F7', 'A12', 'A11', 'A8', 'D12']"
G11,"['F7', 'A12', 'A11', 'H8', 'B12']"
H11,"['F7', 'A12', 'A11', 'H8', 'C12']"
