A1,"['A7', 'D7', 'G7', 'H7', 'A8']"
B1,"['A7', 'D7', 'G7', 'H7', 'B8']"
C1,"['A7', 'D7', 'G7', 'C8', 'D8']"
D1,"['A7', 'D7', 'G7', 'C8', 'A8']"
E1,"['A7', 'D7', 'G7', 'C8', 'B8']"
F1,"['A7', 'D7', 'E8', 'F8', 'G8']"
G1,"['A7', 'D7', 'E8', 'F8', 'H8']"
H1,"['A7', 'D7', 'E8', 'F8', 'A9']"
A2,"['A7', 'D7', 'E8', 'B9', 'G8']"
B2,"['A7', 'D7', 'E8', 'B9', 'H8']"
C2,"['A7', 'D7', 'E8', 'B9', 'A9']"
D2,"['A7', 'D7', 'E8', 'C9', 'G8']"
E2,"['A7', 'D7', 'E8', 'C9', 'H8']"
F2,"['A7', 'D7', 'E8', 'C9', 'A9']"
G2,"['A7', 'D7', 'D9', 'F8', 'G8']"
H2,"['B7', 'E7', 'D9', 'F8', 'H8']"
A3,"['B7', 'E7', 'D9', 'F8', 'A9']"
B3,"['B7', 'E7', 'D9', 'B9', 'G8']"
C3,"['B7', 'E7', 'D9', 'B9', 'H8']"
D3,"['B7', 'E7', 'D9', 'B9', 'A9']"
E3,"['B7', 'E7', 'D9', 'C9', 'G8']"
F3,"['B7', 'E7', 'D9', 'C9', 'H8']"
G3,"['B7', 'E7', 'D9', 'C9', 'A9']"
H3,"['B7', 'E7', 'E9', 'F8', 'G8']"
A4,"['B7', 'E7', 'E9', 'F8', 'H8']"
B4,"['B7', 'E7', 'E9', 'F8', 'A9']"
C4,"['B7', 'E7', 'E9', 'B9', 'G8']"
D4,"['B7', 'E7', 'E9', 'B9', 'H8']"
E4,"['B7', 'E7', 'E9', 'B9', 'A9']"
F4,"['B7', 'E7', 'E9', 'C9', 'G8']"
G4,"['C7', 'F7', 'E9', 'C9', 'H8']"
H4,"['C7', 'F7', 'E9', 'C9', 'A9']"
