MASTER_MIX
Component,Volume (uL)
"Promega T4 DNA Ligase buffer, 10X",147.0
Water,759.5
NEB BsaI-HFv2,49.0
Promega T4 DNA Ligase,24.5

SOURCE_PLATES
Deck position,Source plate,Path
2,BIOLEGIO_BASIC_STD_SET.csv,C:/Users/Liam/Documents/Programming/DNA-BOT/examples/part_linker_csvs/BIOLEGIO_BASIC_STD_SET.csv
5,parts_linkers_160120.csv,C:/Users/Liam/Documents/Programming/DNA-BOT/examples/part_linker_csvs/parts_linkers_160120.csv

CLIP_REACTIONS
prefixes,parts,suffixes,number,mag_well
LMS-P,BASIC_SEVA_37_CmR-p15A_v1.0,LMP-S,6,"('A7', 'B7', 'C7', 'D7', 'E7', 'F7')"
LMP-P,BASIC_L3S2P21_J23105_RiboJ,UTR1-S,4,"('G7', 'H7', 'A8', 'B8')"
UTR1-RBS1-P,BASIC_sfGFP_ORF_v1.0,UTR3-S,1,"('C8',)"
UTR3-RBS1-P,BASIC_RFP_ORF_v1.0,UTR2-S,2,"('D8', 'E8')"
UTR2-RBS1-P,BASIC_BFP_ORF_v1.0,LMS-S,2,"('F8', 'G8')"
UTR2-RBS2-P,BASIC_BFP_ORF_v1.0,LMS-S,2,"('H8', 'A9')"
UTR2-RBS3-P,BASIC_BFP_ORF_v1.0,LMS-S,2,"('B9', 'C9')"
UTR3-RBS2-P,BASIC_RFP_ORF_v1.0,UTR2-S,1,"('D9',)"
UTR3-RBS3-P,BASIC_RFP_ORF_v1.0,UTR2-S,1,"('E9',)"
UTR1-RBS2-P,BASIC_sfGFP_ORF_v1.0,UTR3-S,1,"('F9',)"
UTR1-RBS3-P,BASIC_sfGFP_ORF_v1.0,UTR3-S,1,"('G9',)"
UTR1-RBS1-P,BASIC_sfGFP_ORF_v1.0,UTR2-S,2,"('H9', 'A10')"
UTR2-RBS1-P,BASIC_BFP_ORF_v1.0,UTR3-S,1,"('B10',)"
UTR3-RBS1-P,BASIC_RFP_ORF_v1.0,LMS-S,1,"('C10',)"
UTR3-RBS2-P,BASIC_RFP_ORF_v1.0,LMS-S,1,"('D10',)"
UTR3-RBS3-P,BASIC_RFP_ORF_v1.0,LMS-S,1,"('E10',)"
UTR2-RBS2-P,BASIC_BFP_ORF_v1.0,UTR3-S,1,"('F10',)"
UTR2-RBS3-P,BASIC_BFP_ORF_v1.0,UTR3-S,1,"('G10',)"
UTR1-RBS2-P,BASIC_sfGFP_ORF_v1.0,UTR2-S,2,"('H10', 'A11')"
UTR1-RBS3-P,BASIC_sfGFP_ORF_v1.0,UTR2-S,2,"('B11', 'C11')"
LMP-P,BASIC_L3S2P21_J23105_RiboJ,UTR3-S,3,"('D11', 'E11', 'F11')"
UTR3-RBS1-P,BASIC_RFP_ORF_v1.0,UTR1-S,1,"('G11',)"
UTR3-RBS2-P,BASIC_RFP_ORF_v1.0,UTR1-S,1,"('H11',)"
UTR3-RBS3-P,BASIC_RFP_ORF_v1.0,UTR1-S,1,"('A12',)"
UTR2-RBS1-P,BASIC_BFP_ORF_v1.0,UTR1-S,1,"('B12',)"
UTR1-RBS1-P,BASIC_sfGFP_ORF_v1.0,LMS-S,1,"('C12',)"
UTR1-RBS2-P,BASIC_sfGFP_ORF_v1.0,LMS-S,1,"('D12',)"
UTR1-RBS3-P,BASIC_sfGFP_ORF_v1.0,LMS-S,1,"('E12',)"
UTR2-RBS2-P,BASIC_BFP_ORF_v1.0,UTR1-S,1,"('F12',)"
UTR2-RBS3-P,BASIC_BFP_ORF_v1.0,UTR1-S,1,"('G12',)"

